STT,STEP NAME,AC,RL1,RL2,RL3,RL4,RL5,RL6,RL7,RL8,RL9,RL10,RL11,RL12,RL13,RL14,RL15,RL16,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24,DELAY,PORT,MEAS,ACT,HIGH,LOW,Units,NG,Result
1,TEST IN A-TEST IN B,0,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,
2,POWER ON,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,
3,DC 16.5 V,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG2,DC,,17.2,15.8,V,,
4,DC 5V,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG1,DC,,5.3,4.7,V,,
5,OSC,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG3,OSC,,55,45,HZ,,
6,VERSION CHECK,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,LOAD,,00001000',,,,
7,PCC>5.5K-MEAS FAN-h speed,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG5,DC,,12.5,11.5,V,,
8,LED LIGHT ON,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG4,DC,,16,15,V,,
9,LED LIGHT OFF,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG4,DC,,0.5,-0.5,V,,
10,DFC 5K LOAD DEF ON,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,LOAD,,00001010',,,,
11,DFC 2.5K LOAD DEF OFF,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,LOAD,,00001000',,,,
12,VR >  3.4V LOAD TXD ON,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,LOAD,,00001000',,,,
13,VR <1.8V LOAD TXD OFF,1,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,LOAD,,00001000',,,,
14,PCC <5.3K-MEAS FAN l speed,1,1,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG5,DC,,8.5,7.5,V,,
15,FAN OFF,1,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,SIG5,DC,,0.5,-0.5,V,,
16,AC OFF,0,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,
17,DISCHARGE,0,1,1,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3000,SIG6,DC,,5,-5,,,
